,018700
2019-10-07,2060
2019-10-08,2080
2019-10-10,2080
2019-10-11,2080
2019-10-14,2095
2019-10-15,2120
2019-10-16,2125
2019-10-17,2110
2019-10-18,2095
2019-10-21,2070
2019-10-22,2085
2019-10-23,2065
2019-10-24,2070
2019-10-25,2060
2019-10-28,2065
2019-10-29,2035
2019-10-30,2070
2019-10-31,2080
2019-11-01,2115
2019-11-04,2115
2019-11-05,2095
2019-11-06,2090
2019-11-07,2090
2019-11-08,2095
2019-11-11,2095
2019-11-12,2095
2019-11-13,2150
2019-11-14,2090
2019-11-15,2080
2019-11-18,2090
2019-11-19,2070
2019-11-20,2060
2019-11-21,2020
2019-11-22,2010
2019-11-25,2000
2019-11-26,2030
2019-11-27,2045
2019-11-28,2050
2019-11-29,2030
2019-12-02,2000
2019-12-03,1990
2019-12-04,1960
2019-12-05,1940
2019-12-06,1955
2019-12-09,1960
2019-12-10,1960
2019-12-11,1955
2019-12-12,1955
2019-12-13,1985
2019-12-16,2015
2019-12-17,1990
2019-12-18,2015
2019-12-19,2000
2019-12-20,1995
2019-12-23,1990
2019-12-24,1990
2019-12-26,1990
2019-12-27,2040
2019-12-30,2080
2020-01-02,2125
2020-01-03,2115
2020-01-06,2045
2020-01-07,2045
2020-01-08,2000
2020-01-09,2045
2020-01-10,2060
2020-01-13,2080
2020-01-14,2040
2020-01-15,2055
2020-01-16,2075
2020-01-17,2100
2020-01-20,2060
2020-01-21,2050
2020-01-22,2070
2020-01-23,2060
2020-01-28,1995
2020-01-29,2010
2020-01-30,1980
2020-01-31,1970
2020-02-03,1965
2020-02-04,1985
2020-02-05,1985
2020-02-06,1990
2020-02-07,2025
2020-02-10,2630
2020-02-11,3415
2020-02-12,4435
2020-02-13,5760
2020-02-14,6030
2020-02-17,6200
2020-02-18,5280
2020-02-19,5420
2020-02-20,5200
2020-02-21,4890
2020-02-24,4080
2020-02-25,4285
2020-02-26,4120
2020-02-27,3825
2020-02-28,3525
2020-03-02,3670
2020-03-03,3510
2020-03-04,3610
2020-03-05,3440
2020-03-06,3440
2020-03-09,3250
2020-03-10,3425
2020-03-11,3170
2020-03-12,3090
2020-03-13,2780
2020-03-16,2600
2020-03-17,2650
2020-03-18,2400
2020-03-19,1885
2020-03-20,1950
2020-03-23,1680
2020-03-24,1850
2020-03-25,2085
2020-03-26,2175
2020-03-27,2190
2020-03-30,2360
2020-03-31,2450
2020-04-01,3185
2020-04-02,2950
2020-04-03,3160
2020-04-06,3210
2020-04-07,3310
2020-04-08,3355
2020-04-09,3505
2020-04-10,3445
2020-04-13,3550
2020-04-14,3500
2020-04-16,3610
2020-04-17,3670
2020-04-20,3840
2020-04-21,3630
2020-04-22,3570
2020-04-23,3540
2020-04-24,3360
2020-04-27,3500
2020-04-28,3565
2020-04-29,3500
2020-05-04,3430
2020-05-06,3495
2020-05-07,3510
2020-05-08,3470
2020-05-11,3360
2020-05-12,3375
2020-05-13,3410
2020-05-14,3345
2020-05-15,3205
2020-05-18,3200
2020-05-19,3280
2020-05-20,3400
2020-05-21,3450
2020-05-22,3320
2020-05-25,3310
2020-05-26,3320
2020-05-27,3265
2020-05-28,3190
2020-05-29,3250
2020-06-01,3290
2020-06-02,3430
2020-06-03,3655
2020-06-04,3400
2020-06-05,3300
2020-06-08,3270
2020-06-09,3225
2020-06-10,3230
2020-06-11,3095
2020-06-12,2545
2020-06-15,2140
2020-06-16,2200
2020-06-17,2155
2020-06-18,2180
2020-06-19,2180
2020-06-22,2145
2020-06-23,2115
2020-06-24,2135
2020-06-25,2085
2020-06-26,2055
2020-06-29,2010
2020-06-30,2095
2020-07-01,2045
2020-07-02,2140
2020-07-03,2210
2020-07-06,2210
2020-07-07,2150
2020-07-08,2240
2020-07-09,2235
2020-07-10,2145
2020-07-13,2180
2020-07-14,2190
2020-07-15,2845
2020-07-16,2970
2020-07-17,2755
2020-07-20,2635
2020-07-21,2580
2020-07-22,2515
2020-07-23,2760
2020-07-24,2810
2020-07-27,2890
2020-07-28,2875
